"345","739","R","20190401","F"
"361","740","R","20190401",""
"364","Z9D4Z","R","20210401",""
"367","809","R","20190401",""
"371","739","R","20190401","F"
"372","809","R","20190401",""
"379","916","R","20200401",""
"382","U6Q5Z","R","20210401",""
"4AA24","5GD","O","20010401","F"
"4AA88","5L5","O","20020401","F"
"4AE02","5LH","O","20020401","X"
"4AF58","5MH","O","20020401","F"
"4AF68","5DY","O","20010401","F"
"4AF84","5D7","O","20010401","X"
"4AG25","4HF25","R","20010401","F"
"4AG53","5L4","O","20020401","F"
"4AG79","5F4","O","20010401","F"
"4AH17","5KR","O","20020401","F"
"4AH48","5M1","O","20020401","X"
"4AH74","5JK","O","20020401","F"
"4AJ48","5C9","O","20010401","X"
"4AJ69","5GN","O","20010401","F"
"4AK23","5J3","O","20020401","F"
"4AL61","5L5","O","20020401","F"
"4AM31","5JL","O","20020401","F"
"4AM58","5F3","O","20010401","F"
"4AP01","5M3","O","20020401","X"
"4AP58","5DK","O","20010401","F"
"4AP75","5M9","O","20020401","F"
"4AP97","5HN","O","20020401","F"
"4AQ28","5MP","O","20020401","F"
"4AQ86","5DJ","O","20010401","F"
"4AR01","5FW","O","20010401","F"
"4AV55","5J1","O","20020401","F"
"4AV88","5GE","O","20010401","F"
"4AX17","5JT","O","20020401","F"
"4AY29","5K1","O","20020401","F"
"4AY32","5MG","O","20020401","F"
"4AY97","5CE","R","20010401","F"
"4CC42","5EM","O","20010401","X"
"4CC82","5H9","O","20020401","F"
"4CE23","4AM31","R","20010401","F"
"4CE39","5G7","O","20020401","F"
"4CG71","4CG71","O","20001001","F"
"4CG71","5CJ","R","20010401","F"
"4CG71","5CJ","O","20001001","F"
"4CJ40","5JR","O","20020401","F"
"4CJ51","4CJ51","O","20001001","F"
"4CJ51","5CQ","R","20010401","X"
"4CJ51","5CQ","O","20001001","X"
"4CK88","5FN","O","20010401","F"
"4CL71","4CL71","O","20001001","F"
"4CL71","5CY","R","20010401","F"
"4CL71","5CY","O","20001001","F"
"4CM24","5DD","O","20010401","F"
"4CN11","5KT","O","20020401","F"
"4CN32","5AN","R","20010401","F"
"4CN32","5AN","O","20000401","F"
"4CN32","4CN32","O","20000401","F"
"4CN53","5GL","O","20010401","F"
"4CP63","5GJ","O","20010401","F"
"4CP64","5JD","O","20020401","F"
"4CP91","5EX","O","20010401","F"
"4CQ05","5CL","R","20010401","F"
"4CR53","5KL","O","20020401","X"
"4CT09","5G1","O","20020401","F"
"4CV35","5EJ","O","20010401","F"
"4CV41","5FF","O","20010401","F"
"4CV72","5MQ","O","20020401","F"
"4CW41","5MR","O","20020401","F"
"4CX64","5M3","O","20020401","X"
"4DC31","5HJ","O","20020401","F"
"4DD23","5KM","O","20020401","X"
"4DD48","5L3","O","20020401","X"
"4DE33","4AL61","R","20010401","F"
"4DF23","5C7","O","20010401","F"
"4DF54","5LF","O","20020401","X"
"4DH51","5HC","O","20020401","F"
"4DH71","5EN","O","20010401","F"
"4DH80","5A9","O","20010401","X"
"4DJ54","5L3","O","20020401","X"
"4DK03","5E2","O","20010401","F"
"4DK34","5G8","O","20020401","F"
"4DL31","5H5","O","20020401","F"
"4DL49","5GK","O","20010401","F"
"4DL65","5MQ","O","20020401","F"
"4DL78","5K4","O","20020401","F"
"4DM35","5MT","O","20020401","F"
"4DN04","5K9","O","20020401","X"
"4DN08","5MR","O","20020401","F"
"4DN39","5L8","O","20020401","F"
"4DN88","5G6","O","20020401","F"
"4DP12","5KY","O","20020401","F"
"4DP19","5D7","O","20010401","X"
"4DP34","4VP62","R","20010401","F"
"4DQ30","5DD","O","20010401","F"
"4DR90","5LY","O","20020401","F"
"4DT14","5FN","O","20010401","F"
"4DW55","5MW","O","20020401","F"
"4DW85","5MT","O","20020401","F"
"4DX20","5JW","O","20020401","F"
"4DY93","5G4","O","20020401","F"
"4EA06","5DL","O","20010401","F"
"4EA27","5EM","O","20010401","X"
"4EA30","4NT59","R","20010401","F"
"4EA30","4AM31","R","20010401","F"
"4EA87","5LW","O","20020401","F"
"4EC95","5G9","O","20020401","F"
"4ED35","5ET","O","20010401","X"
"4EE45","5KD","O","20020401","F"
"4EF26","5K5","O","20020401","X"
"4EG75","5F9","O","20010401","F"
"4EH75","4KW68","R","20000401","F"
"4EH97","5A4","O","20010401","X"
"4EJ18","5MT","O","20020401","F"
"4EK58","5LV","O","20020401","F"
"4EK66","5M2","O","20020401","X"
"4EL02","5C2","O","20010401","X"
"4EM02","5D1","O","20010401","F"
"4EM45","5HG","O","20020401","X"
"4EM47","5EX","O","20010401","F"
"4EN03","5FK","O","20010401","F"
"4EN93","5CM","O","20001001","F"
"4EN93","5CM","R","20010401","F"
"4EN93","4EN93","O","20001001","F"
"4EP39","5MV","O","20020401","X"
"4EP84","5A2","O","20010401","F"
"4ET71","5HT","O","20020401","F"
"4ET87","5J4","O","20020401","X"
"4EX08","4DW55","R","20010401","F"
"4FC32","5D9","O","20010401","X"
"4FC69","4FC69","O","20001001","F"
"4FC69","5CW","O","20001001","F"
"4FC69","5CW","R","20010401","F"
"4FC80","5LK","O","20020401","F"
"4FD21","4YV57","R","20010401","F"
"4FD75","5K3","O","20020401","X"
"4FE05","5AH","O","20000401","F"
"4FE05","5AH","R","20010401","F"
"4FE05","4FE05","O","20000401","F"
"4FF02","5KF","O","20020401","X"
"4FF73","4KM10","R","20000401","F"
"4FG19","5LG","O","20020401","X"
"4FJ22","5L7","O","20020401","F"
"4FJ41","5CE","O","20001001","F"
"4FJ41","4AY97","O","20001001","F"
"4FK56","5CX","R","20010401","F"
"4FK56","5CX","O","20001001","F"
"4FK56","4FK56","O","20001001","F"
"4FK76","5A9","O","20010401","X"
"4FK82","4FK82","O","20001001","F"
"4FK82","5CV","O","20001001","F"
"4FK82","5CV","R","20010401","F"
"4FL43","5JE","O","20020401","X"
"4FL76","4FL76","O","20001001","F"
"4FL76","5AX","O","20001001","F"
"4FL76","5AX","R","20010401","F"
"4FM82","5G3","O","20020401","F"
"4FP12","4AH48","R","20010401","F"
"4FP27","5F7","O","20010401","X"
"4FQ86","5MK","O","20020401","X"
"4FQ87","5LX","O","20020401","F"
"4FR10","5HL","O","20020401","F"
"4FW03","5HY","O","20020401","X"
"4FW44","5LD","O","20020401","X"
"4GA33","4GA33","O","20000401","F"
"4GA33","5AP","O","20000401","F"
"4GA33","5AP","R","20010401","F"
"4GC50","5C4","O","20010401","X"
"4GD64","5MV","O","20020401","X"
"4GF40","5FL","O","20010401","X"
"4GH03","5H2","O","20020401","F"
"4GH39","5LV","O","20020401","F"
"4GJ76","5DM","O","20010401","F"
"4GK35","5D1","O","20010401","F"
"4GK77","5D3","O","20010401","F"
"4GL55","4KN90","R","20010401","F"
"4GM13","5EV","O","20010401","F"
"4GM52","4HF25","R","20010401","F"
"4GM61","5KP","O","20020401","F"
"4GN07","5A6","O","20010401","F"
"4GN12","5FF","O","20010401","F"
"4GN78","5J9","O","20020401","X"
"4GN97","4AL61","R","20010401","F"
"4GP22","5AT","R","20010401","X"
"4GP57","5A1","O","20010401","F"
"4GR46","5EL","O","20010401","F"
"4GR95","5JX","O","20020401","X"
"4GT20","5MY","O","20020401","F"
"4GT30","5L8","O","20020401","F"
"4GT33","5GT","O","20010401","F"
"4GT51","5JH","O","20020401","F"
"4GT59","5J3","O","20020401","F"
"4GT88","4GT88","O","20000401","F"
"4GT88","5AR","O","20000401","F"
"4GT88","5AR","R","20010401","F"
"4GW14","5LJ","O","20020401","F"
"4GX25","5E7","O","20010401","F"
"4GX51","5JW","O","20020401","F"
"4GY34","4JP38","R","20010401","F"
"4HA55","5HK","O","20020401","F"
"4HA75","5F5","O","20010401","X"
"4HC06","5HY","O","20020401","X"
"4HD99","5A4","O","20010401","X"
"4HF25","5JG","O","20020401","F"
"4HF31","5LP","O","20020401","F"
"4HF57","5FR","O","20010401","F"
"4HG32","5FQ","O","20010401","F"
"4HK64","4DW55","R","20010401","F"
"4HK72","5EK","O","20010401","F"
